t1;12;male;;;;;;;;;
;;;;;;;;;;;
0;t1;12;male;6;0;1;0;0;6;;6
1;0 Attemp 1start;20272;13850;31;37;1;2700;1_5;1_51_6;34122;
2;t2;1;male;11;0;1;0;0;11;;11
3;t2;1;male;6;0;1;0;0;6;;6
4;0 Attemp 1start;4386;1867;2;1;1;1835;1_5;1_5;6253;
5;0 Attemp 2start;27631;2707;3;2;0;9240;2_2;2_2;30338;
6;0 Attemp 3start;469;0;1;0;0;469;;469;;
7;0 Attemp 4start;377;0;1;0;0;377;;377;;
8;0 Attemp 5start;6265;2721;5;5;0;2501;2_2;2_2;8986;
9;t3;2;female;6;0;1;0;0;6;;6
10;0 Attemp 1 start;8198;1575;3;2;2;4332;2_2;2_12_2;9773;
Total time:;90347;;;;;;;;;;
t1,12,male;;;;;;;;;;;
;;;;;;;;;;;
1;0 Attemp 1start;20272;13850;31;37;1;2700;1_5;1_51_6;34122;
2;t2;1;male;11;0;1;0;0;11;;11
3;t2;1;male;6;0;1;0;0;6;;6
4;0 Attemp 1start;4386;1867;2;1;1;1835;1_5;1_5;6253;
5;0 Attemp 2start;27631;2707;3;2;0;9240;2_2;2_2;30338;
6;0 Attemp 3start;469;0;1;0;0;469;;469;;
7;0 Attemp 4start;377;0;1;0;0;377;;377;;
8;0 Attemp 5start;6265;2721;5;5;0;2501;2_2;2_2;8986;
9;t3;2;female;6;0;1;0;0;6;;6
10;0 Attemp 1 start;8198;1575;3;2;2;4332;2_2;2_12_2;9773;
Total time:;90341;;;;;;;;;;
