t1;12;male;;;;;;;;;
;;;;;;;;;;;
0;t1;12;male;6;0;1;0;0;6;;6
1;0 Attemp 1start;20272;13850;31;37;1;2700;1_5;1_51_6;34122;
2;t2;1;male;11;0;1;0;0;11;;11
3;t2;1;male;6;0;1;0;0;6;;6
4;0 Attemp 1start;4386;1867;2;1;1;1835;1_5;1_5;6253;
5;0 Attemp 2start;27631;2707;3;2;0;9240;2_2;2_2;30338;
6;0 Attemp 3start;469;0;1;0;0;469;;469;;
7;0 Attemp 4start;377;0;1;0;0;377;;377;;
8;0 Attemp 5start;6265;2721;5;5;0;2501;2_2;2_2;8986;
9;t3;2;female;6;0;1;0;0;6;;6
10;0 Attemp 1 start;8198;1575;3;2;2;4332;2_2;2_12_2;9773;
Total time:;90347;;;;;;;;;;
t1,12,male;;;;;;;;;;;
;;;;;;;;;;;
1;0 Attemp 1start;20272;13850;31;37;1;2700;1_5;1_51_6;34122;
2;t2;1;male;11;0;1;0;0;11;;11
3;t2;1;male;6;0;1;0;0;6;;6
4;0 Attemp 1start;4386;1867;2;1;1;1835;1_5;1_5;6253;
5;0 Attemp 2start;27631;2707;3;2;0;9240;2_2;2_2;30338;
6;0 Attemp 3start;469;0;1;0;0;469;;469;;
7;0 Attemp 4start;377;0;1;0;0;377;;377;;
8;0 Attemp 5start;6265;2721;5;5;0;2501;2_2;2_2;8986;
9;t3;2;female;6;0;1;0;0;6;;6
10;0 Attemp 1 start;8198;1575;3;2;2;4332;2_2;2_12_2;9773;
Total time:;90341;;;;;;;;;;
t1,12,male

1;0 Attemp 1start;20272;13850;31;37;1;2700;1_5;1_51_6;34122;
2;t2,1,male;11;0;1;0;0;11;;11;
3;t2,1,male;6;0;1;0;0;6;;6;
4;0 Attemp 1start;4386;1867;2;1;1;1835;1_5;1_5;6253;
5;0 Attemp 2start;27631;2707;3;2;0;9240;2_2;2_2;30338;
6;0 Attemp 3start;469;0;1;0;0;469;;469;
7;0 Attemp 4start;377;0;1;0;0;377;;377;
8;0 Attemp 5start;6265;2721;5;5;0;2501;2_2;2_2;8986;
9;t3,2,female;6;0;1;0;0;6;;6;
10;0 Attemp 1 start;8198;1575;3;2;2;4332;2_2;2_12_2;9773;
Total time:;90341
t1;12;male;

1;0 Attemp 1start;20272;13850;31;37;1;2700;1_5;1_51_6;34122;
2;t2,1,male;11;0;1;0;0;11;;11;
3;t2,1,male;6;0;1;0;0;6;;6;
4;0 Attemp 1start;4386;1867;2;1;1;1835;1_5;1_5;6253;
5;0 Attemp 2start;27631;2707;3;2;0;9240;2_2;2_2;30338;
6;0 Attemp 3start;469;0;1;0;0;469;;469;
7;0 Attemp 4start;377;0;1;0;0;377;;377;
8;0 Attemp 5start;6265;2721;5;5;0;2501;2_2;2_2;8986;
9;t3,2,female;6;0;1;0;0;6;;6;
10;0 Attemp 1 start;8198;1575;3;2;2;4332;2_2;2_12_2;9773;
Total time:;90341


t1;12;male;
1;0 Attemp 1start;20272;13850;31;37;1;2700;1_5;1_51_6;34122;
2;t2,1,male;11;0;1;0;0;11;;11;
3;t2,1,male;6;0;1;0;0;6;;6;
4;0 Attemp 1start;4386;1867;2;1;1;1835;1_5;1_5;6253;
5;0 Attemp 2start;27631;2707;3;2;0;9240;2_2;2_2;30338;
6;0 Attemp 3start;469;0;1;0;0;469;;469;
7;0 Attemp 4start;377;0;1;0;0;377;;377;
8;0 Attemp 5start;6265;2721;5;5;0;2501;2_2;2_2;8986;
9;t3,2,female;6;0;1;0;0;6;;6;
10;0 Attemp 1 start;1859872;1575;4;2;2;4332;2_2;2_12_2;1637789585901;
11;0 Attemp 1 start;6346;1330;3;2;0;2513;2_2;2_2;7676;
12;0 Attemp 2 start;2333;1151;2;1;0;1388;2_2;2_2;3484;
13;0 Attemp 3 start;2480;1786;3;2;1;764;4_2;4_2;4266;
14;0 Attemp 4 start;8010;2921;5;5;0;1875;2_2;2_2;10931;
15;0 Attemp 5 start;3370;2036;3;3;1;1575;2_2;2_2;5406;
Total time:;1637789698232


t1;12;male;
1;0 Attemp 1start;20272;13850;31;37;1;2700;1_5;1_51_6;34122;
2;t2,1,male;11;0;1;0;0;11;;11;
3;t2,1,male;6;0;1;0;0;6;;6;
4;0 Attemp 1start;4386;1867;2;1;1;1835;1_5;1_5;6253;
5;0 Attemp 2start;27631;2707;3;2;0;9240;2_2;2_2;30338;
6;0 Attemp 3start;469;0;1;0;0;469;;469;
7;0 Attemp 4start;377;0;1;0;0;377;;377;
8;0 Attemp 5start;6265;2721;5;5;0;2501;2_2;2_2;8986;
9;t3,2,female;6;0;1;0;0;6;;6;
10;0 Attemp 1 start;1859872;1575;4;2;2;4332;2_2;2_12_2;1637789585901;
11;0 Attemp 1 start;6346;1330;3;2;0;2513;2_2;2_2;7676;
12;0 Attemp 2 start;2333;1151;2;1;0;1388;2_2;2_2;3484;
13;0 Attemp 3 start;2480;1786;3;2;1;764;4_2;4_2;4266;
14;0 Attemp 4 start;8010;2921;5;5;0;1875;2_2;2_2;10931;
15;0 Attemp 5 start;3370;2036;3;3;1;1575;2_2;2_2;5406;
Total time:;1637789698232


t5;5;male;
1;0 Attemp 1 start;2564;0;1;0;0;2564;;2564;
2;0 Attemp 2 start;1785;285;2;1;1;484;3_3;3_3;2070;
3;0 Attemp 3 start;2913;1356;4;3;1;1088;2_2;2_2;4269;
Total time:;8903


t6;6;female;
1;0 Attemp 1 start;5817;1608;4;3;0;2217;2_2;2_2;7425;
2;0 Attemp 2 start;3714;1270;4;3;1;759;2_2;2_2;4984;
Total time:;12409
